cml_id,sublink_id,device_name,site_0_lat,site_0_lon,site_0_elevation,site_0_altitude,site_1_lat,site_1_lon,site_1_elevation,site_1_altitude,frequency,frequency_units,length,polarization,tsl,rsl
1,sublink_1,nycmesh-1933-waveap-northeast ↔ nycmesh-Mohammad-af60lr-1933,40.715648,-73.984369,,107.1,40.7154671,-73.9844008,,0.0,69120.0,MHz,20.292926833795647,ap-ptmp,-62.0,-63.0
2,sublink_1,nycmesh-1933-wavenano ↔ nycmesh-227-waveapmicro-north,40.71555,-73.984461,,110.2,40.711199,-74.001357,10.0,189.9,69120.0,MHz,1503.9992649047647,sta-ptmp,-63.0,-61.0
3,sublink_1,nycmesh-227-waveapmicro-north ↔ nycmesh-544-af60lr,40.711199,-74.001357,10.0,189.9,40.718492,-73.996155,,37.5,69120.0,MHz,955.0,ap-ptmp,-59.0,-57.0
4,sublink_1,nycmesh-730-wavepro-2299 ↔ nycmesh-2299-wavepro-730,40.843925,-73.893033,,72.0,40.861363,-73.907873,,80.4,69120.0,MHz,2224.0,ap-ptp,-43.0,-42.0
5,sublink_1,nycmesh-5916-wavepro-3461 ↔ nycmesh-3461-wavepro-5916,40.696031,-73.939812,,97.8,40.67261,-73.963951,,115.4,69120.0,MHz,3327.0,ap-ptp,-43.0,-43.0
6,sublink_1,nycmesh-227-waveapmicro-north ↔ nycmesh-168-wavelr,40.711199,-74.001357,10.0,189.9,40.709724,-73.95819,,29.4,69120.0,MHz,3640.0,ap-ptmp,-59.0,-61.0
7,sublink_1,nycmesh-1340-wavelr-5014 ↔ nycmesh-5014-wavenano-1340,40.68627,-73.917572,,64.0,40.694276,-73.90607,,41.6,68040.0,MHz,1316.4169527509423,sta-ptp,-34.0,-34.0
8,sublink_1,nycmesh-3461-waveap-south ↔ nycmesh-527-wavelr,40.672552,-73.964442,,98.2,40.635243,-73.950465,,36.4,68040.0,MHz,4335.0,ap-ptmp,-56.0,-62.0
9,sublink_1,nycmesh-3461-waveap-south ↔ nycmesh-4402-wavelr,40.672552,-73.964442,,98.2,40.655607,-73.956788,,40.4,68040.0,MHz,1991.7285474988928,ap-ptmp,-56.0,-57.0
10,sublink_1,nycmesh-5916-waveap-northeast ↔ nycmesh-169-af60lr,40.696036,-73.93963,,99.9,40.70858,-73.921552,8.0,24.2,68040.0,MHz,2043.0,ap-ptmp,-59.0,-58.0
