station_id,network,subnetwork,lat,lon,elev,first_obs,last_obs,n_samples,n_variables,source_file
EWR,ASOS,NJ_ASOS,40.6925,-74.1687,2.0,2023-10-01T00:00:00+00:00,2026-04-23T23:59:00+00:00,740124,13,asos_2023-10-01_2026-04-23.nc
JFK,ASOS,NY_ASOS,40.6386,-73.7622,7.0,2023-10-01T00:00:00+00:00,2026-04-23T23:59:00+00:00,1171880,13,asos_2023-10-01_2026-04-23.nc
LGA,ASOS,NY_ASOS,40.7794,-73.8803,9.0,2023-10-01T00:00:00+00:00,2026-04-23T23:59:00+00:00,907481,13,asos_2023-10-01_2026-04-23.nc
NYC,ASOS,NY_ASOS,40.779,-73.969,27.0,2023-10-01T08:18:00+00:00,2026-04-23T15:08:00+00:00,1000456,13,asos_2023-10-01_2026-04-23.nc
TEB,ASOS,NJ_ASOS,40.85,-74.0608,2.0,2023-10-01T00:00:00+00:00,2026-04-23T23:59:00+00:00,901695,13,asos_2023-10-01_2026-04-23.nc
KJFK,PWS_WU,,40.7,-73.8,,2024-07-01T04:51:00+00:00,2026-04-24T03:51:00+00:00,17315,12,pws_wu_merged_2023-10-29_2026-04-24_qc.nc
KLGA,PWS_WU,,40.76,-73.86,,2024-07-01T04:51:00+00:00,2026-04-24T03:51:00+00:00,18111,12,pws_wu_merged_2023-10-29_2026-04-24_qc.nc
KNYC,PWS_WU,,40.78,-73.97,,2024-07-01T04:51:00+00:00,2026-04-24T03:51:00+00:00,18111,12,pws_wu_merged_2023-10-29_2026-04-24_qc.nc
KNYNEWYO1024,PWS_WU,,40.77153,-73.957161,24.0792,2024-01-09T19:01:00+00:00,2024-06-26T03:45:00+00:00,16098,10,pws_wu_merged_2023-10-29_2026-04-24_qc.nc
KNYNEWYO1053,PWS_WU,,40.711601,-73.844704,21.9456,2023-10-29T04:04:00+00:00,2024-07-01T23:59:00+00:00,69708,10,pws_wu_merged_2023-10-29_2026-04-24_qc.nc
KNYNEWYO1071,PWS_WU,,40.61334,-74.00984,10.0584,2023-10-29T04:04:00+00:00,2026-04-24T03:59:00+00:00,252574,15,pws_wu_merged_2023-10-29_2026-04-24_qc.nc
KNYNEWYO1120,PWS_WU,,40.667,-73.983,34.1376,2023-10-29T04:04:00+00:00,2026-04-24T03:59:00+00:00,257220,15,pws_wu_merged_2023-10-29_2026-04-24_qc.nc
KNYNEWYO1127,PWS_WU,,40.648,-73.887,4.8768,2023-10-31T15:14:00+00:00,2026-04-24T03:59:00+00:00,199426,14,pws_wu_merged_2023-10-29_2026-04-24_qc.nc
KNYNEWYO1157,PWS_WU,,40.665,-73.979,47.8536,2023-10-29T04:04:00+00:00,2026-04-24T03:59:00+00:00,246673,15,pws_wu_merged_2023-10-29_2026-04-24_qc.nc
KNYNEWYO1166,PWS_WU,,40.706,-73.915,24.0792,2024-02-01T10:24:00+00:00,2026-04-24T03:59:00+00:00,209962,9,pws_wu_merged_2023-10-29_2026-04-24_qc.nc
KNYNEWYO1189,PWS_WU,,40.735,-73.995,27.127200000000002,2023-10-29T04:04:00+00:00,2026-02-24T04:59:00+00:00,172781,6,pws_wu_merged_2023-10-29_2026-04-24_qc.nc
KNYNEWYO1196,PWS_WU,,40.567,-73.894,0.0,2023-10-29T04:04:00+00:00,2026-04-24T03:59:00+00:00,243075,15,pws_wu_merged_2023-10-29_2026-04-24_qc.nc
