stationID,tz,obsTimeUtc,obsTimeLocal,epoch,lat,lon,solarRadiationHigh,uvHigh,winddirAvg,humidityHigh,humidityLow,humidityAvg,qcStatus,metric.tempHigh,metric.tempLow,metric.tempAvg,metric.windspeedHigh,metric.windspeedLow,metric.windspeedAvg,metric.windgustHigh,metric.windgustLow,metric.windgustAvg,metric.dewptHigh,metric.dewptLow,metric.dewptAvg,metric.windchillHigh,metric.windchillLow,metric.windchillAvg,metric.heatindexHigh,metric.heatindexLow,metric.heatindexAvg,metric.pressureMax,metric.pressureMin,metric.pressureTrend,metric.precipRate,metric.precipTotal
KNYNEWYO1805,America/New_York,2024-01-01 05:58:23+00:00,2024-01-01 00:58:23,1704088703,40.638,-74.035,0.0,0.0,95.0,66.0,65.0,65.0,1,6.0,5.0,5.0,4.0,1.0,2.0,6.0,3.0,5.0,0.0,-1.0,-1.0,6.0,5.0,5.0,6.0,5.0,5.0,1016.26,1016.26,0.0,0.0,0.0
KNYNEWYO1805,America/New_York,2024-01-01 06:58:22+00:00,2024-01-01 01:58:22,1704092302,40.638,-74.035,0.0,0.0,104.0,66.0,65.0,65.0,1,6.0,5.0,5.0,3.0,1.0,2.0,6.0,3.0,4.0,0.0,-1.0,-1.0,6.0,5.0,5.0,6.0,5.0,5.0,1015.92,1015.92,0.0,0.0,0.0
KNYNEWYO1805,America/New_York,2024-01-01 07:58:21+00:00,2024-01-01 02:58:21,1704095901,40.638,-74.035,0.0,0.0,124.0,67.0,65.0,65.0,1,6.0,5.0,5.0,3.0,1.0,2.0,5.0,3.0,3.0,0.0,-1.0,0.0,6.0,5.0,5.0,6.0,5.0,5.0,1015.92,1015.92,0.0,0.0,0.0
KNYNEWYO1805,America/New_York,2024-01-01 08:59:21+00:00,2024-01-01 03:59:21,1704099561,40.638,-74.035,0.0,0.0,109.0,68.0,66.0,67.0,1,5.0,5.0,5.0,2.0,0.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,1015.58,1015.24,0.0,0.0,0.0
KNYNEWYO1805,America/New_York,2024-01-01 09:59:18+00:00,2024-01-01 04:59:18,1704103158,40.638,-74.035,0.0,0.0,115.0,68.0,67.0,67.0,1,5.0,5.0,5.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,-1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,1015.58,1015.24,0.0,0.0,0.0
KNYNEWYO1805,America/New_York,2024-01-01 10:59:18+00:00,2024-01-01 05:59:18,1704106758,40.638,-74.035,0.0,0.0,107.0,72.0,68.0,70.0,1,5.0,5.0,5.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,1015.92,1015.24,0.74,0.03,0.18
KNYNEWYO1805,America/New_York,2024-01-01 11:59:17+00:00,2024-01-01 06:59:17,1704110357,40.638,-74.035,0.0,0.0,135.0,79.0,72.0,74.0,1,5.0,4.0,5.0,3.0,0.0,1.0,6.0,0.0,3.0,1.0,0.0,1.0,5.0,4.0,5.0,5.0,4.0,5.0,1016.26,1015.92,0.37,0.03,0.28
KNYNEWYO1805,America/New_York,2024-01-01 12:59:16+00:00,2024-01-01 07:59:16,1704113956,40.638,-74.035,16.0,0.1,92.0,83.0,80.0,81.0,1,4.0,4.0,4.0,1.0,0.0,1.0,5.0,0.0,3.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,1016.59,1016.26,0.37,0.0,0.33
KNYNEWYO1805,America/New_York,2024-01-01 13:59:14+00:00,2024-01-01 08:59:14,1704117554,40.638,-74.035,72.0,0.2,76.0,83.0,81.0,82.0,1,4.0,4.0,4.0,2.0,0.0,1.0,4.0,0.0,2.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,1017.27,1016.59,0.74,0.05,0.38
KNYNEWYO1805,America/New_York,2024-01-01 14:59:14+00:00,2024-01-01 09:59:14,1704121154,40.638,-74.035,258.0,0.9,110.0,82.0,77.0,80.0,1,5.0,5.0,5.0,1.0,0.0,0.0,4.0,0.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,1017.27,1017.27,0.0,0.0,0.38
